,,Base,Base,Base,Random Sampling,Random Sampling,Random Sampling,SMOTE Sampling,SMOTE Sampling,SMOTE Sampling,Min Max Scaler,Min Max Scaler,Min Max Scaler,Standard Scaler,Standard Scaler,Standard Scaler,Min Max Scaler (Log),Min Max Scaler (Log),Min Max Scaler (Log),Standard Scaler (Log),Standard Scaler (Log),Standard Scaler (Log),Feature Selection,Feature Selection,Feature Selection,Grid Search CV,Grid Search CV,Grid Search CV
,,k-Nearest Neighbor,Gaussian Naive Bayes,Decision Tree,k-Nearest Neighbor,Gaussian Naive Bayes,Decision Tree,k-Nearest Neighbor,Gaussian Naive Bayes,Decision Tree,k-Nearest Neighbor,Gaussian Naive Bayes,Decision Tree,k-Nearest Neighbor,Gaussian Naive Bayes,Decision Tree,k-Nearest Neighbor,Gaussian Naive Bayes,Decision Tree,k-Nearest Neighbor,Gaussian Naive Bayes,Decision Tree,k-Nearest Neighbor,Gaussian Naive Bayes,Decision Tree,k-Nearest Neighbor,Gaussian Naive Bayes,Decision Tree
2,recall,0.20135236664162284,0.0,0.47821187077385424,0.417910447761194,0.0,0.5704809286898839,0.9363593319559229,0.0,0.8602574035812672,0.0018724173553719009,0.0,0.34077995867768596,0.0,0.0,0.9842673898071626,0.0,0.0,0.15965439519158528,0.0,0.0,0.03155522163786627,0.9344653925619835,0.2902246900826446,0.8534994834710744,0.9578168044077136,0.16182420798898073,0.8606017561983471
2,f1-score,0.2568895279175653,0.0,0.45651784113322574,0.43485763589301124,0.0,0.5616326530612246,0.8983574061264313,0.0,0.8533154007087655,0.00370757068888368,0.0,0.2994241842610365,0.0,0.0,0.4014360513853594,0.0,0.0,0.07504193519908185,0.0,0.0,0.043243243243243246,0.8970404421259234,0.28657953458718516,0.8478428186599393,0.9405200925642192,0.20187944690562495,0.8552088457343284
2,support,2662.0,2662.0,2662.0,2412.0,2412.0,2412.0,46464.0,46464.0,46464.0,46464.0,46464.0,46464.0,46464.0,46464.0,46464.0,2662.0,2662.0,2662.0,2662.0,2662.0,2662.0,46464.0,46464.0,46464.0,46464.0,46464.0,46464.0
3,precision,0.9061482709907254,0.8518918100429655,0.9389630277838548,0.6536697247706422,0.26568486590038315,0.5980081484834767,0.9561973596013172,0.26636144303653186,0.9033465632329064,0.24898089724408595,0.0,0.27220405182268514,0.2486431716637114,0.0,0.12442396313364056,0.85178866263071,0.8442764623810416,0.8614056588692919,0.8517743770413593,0.8451177752412576,0.8989359186568929,0.9524142146162577,0.33905446434103725,0.900087760750692,0.9543072427367353,0.28296995787622087,0.9043382286692495
3,recall,0.9531798505373333,0.9693106196024379,0.9243426011672733,0.47165908150599917,0.9180802647910633,0.5465453040959868,0.7111737292727864,0.9117372927278639,0.8682778801343882,0.995578194429392,0.0,0.7432318196596944,0.999978324482497,0.0,0.0005852389725804703,0.999956927185407,0.87315056102341,0.6963151207115629,0.999720026705145,0.8770055779294899,0.40936402989253334,0.7093096347675301,0.4744337271052346,0.8669990246017124,0.8565080741302699,0.7950146309743145,0.8702503522271594
3,f1-score,0.9290692304462823,0.9068160296576875,0.9315954548907677,0.547945205479452,0.41210883090351935,0.571119757890186,0.8156821797931583,0.41227726265853804,0.885465135556317,0.39834179635836975,0.0,0.398470683253633,0.39825965348457776,0.0,0.001164998274076631,0.9199449194099639,0.8584707900141868,0.7701120678361737,0.9198363238251874,0.8607664503582827,0.5625499422889106,0.8130792357194325,0.39547930726075287,0.8832335990460839,0.9027666719974412,0.4173812111315312,0.8869668953176261
3,support,46433.0,46433.0,46433.0,2417.0,2417.0,2417.0,46135.0,46135.0,46135.0,46135.0,46135.0,46135.0,46135.0,46135.0,46135.0,46433.0,46433.0,46433.0,46433.0,46433.0,46433.0,46135.0,46135.0,46135.0,46135.0,46135.0,46135.0
all,accuracy,0.8526746404461403,0.827285735250954,0.8649471675961257,0.4929591836734694,0.28448979591836737,0.5793877551020408,0.8846222250966063,0.2842675979670919,0.8656782378588713,0.24888033759640416,0.25001751577767356,0.2705298388009507,0.2486378114440007,0.25001751577767356,0.25039477868141224,0.8517574112122102,0.747963751100675,0.611883621954799,0.8515739653654242,0.7514675667742883,0.38685060170237745,0.8828598683891413,0.3065638355780476,0.8609840094423515,0.9344802125606989,0.29601664268352496,0.8674675419166034
macro avg,precision,0.512493322596775,0.226224888186739,0.5952100705924397,0.5060765697188835,0.16466016675133888,0.5798594332749283,0.8903471020434243,0.1632425504080653,0.8662357006979453,0.24402881313830188,0.06250437894441839,0.19998450436602994,0.06216079291592785,0.06250437894441839,0.17752544562196493,0.2129471656576775,0.21992753494512945,0.26219334789692045,0.23080073711748267,0.2208416375830345,0.2726930576940407,0.8884023957839291,0.3012492870082579,0.8615298476547081,0.9351760740400491,0.23393283413902094,0.8679777561071539
macro avg,recall,0.44245327122044964,0.250223325589041,0.6230693803765603,0.492237970680638,0.2867174928161816,0.5790846254990983,0.8843148012383051,0.2855006090194309,0.8656912108537542,0.2502294801023574,0.25,0.27139634833515347,0.24999458112062425,0.25,0.24998491910226972,0.24998923179635174,0.2386921824843834,0.26824025943207436,0.2500187220772799,0.2407205215228267,0.2921348885641076,0.8825523172956995,0.3069298712632909,0.8610048799804706,0.9343432306435142,0.29702389383222283,0.8674817182935846
macro avg,f1-score,0.4684566312177175,0.23659949329389707,0.608321674944506,0.4931847172165016,0.17532708066107677,0.5790983667839118,0.881706929173439,0.17522548967165963,0.8658494456488843,0.1022321343743459,0.1000056049703152,0.17525580387245354,0.09956491337114444,0.1000056049703152,0.1076534759793403,0.22998622985249098,0.22697133376952586,0.2523467251034147,0.23013563462861325,0.22842288650974563,0.2035130714148788,0.8799186410482607,0.2972218336376852,0.8611662473339702,0.9339018382273658,0.22701577560320096,0.8676201790642453
macro avg,support,54512.0,54512.0,54512.0,9800.0,9800.0,9800.0,185547.0,185547.0,185547.0,185547.0,185547.0,185547.0,185547.0,185547.0,185547.0,54512.0,54512.0,54512.0,54512.0,54512.0,54512.0,185547.0,185547.0,185547.0,185547.0,185547.0,185547.0
weighted avg,precision,0.8286164266805868,0.7283766553174505,0.8712589132257378,0.505445900995006,0.16524912226829513,0.579944696311282,0.8902216140391029,0.16288792319868434,0.8661612673916145,0.24402987265331663,0.06250875819563925,0.19973091482621835,0.06182343408788784,0.06250875819563925,0.1776077843775925,0.7255485576007439,0.7209814551043923,0.7430375985940557,0.729228892050322,0.7218436070220029,0.7751876795702652,0.8882802107066978,0.3011751105466141,0.8614510870022362,0.935137338010195,0.23366733265056275,0.8679068696514795
weighted avg,recall,0.8526746404461403,0.827285735250954,0.8649471675961257,0.4929591836734694,0.28448979591836737,0.5793877551020408,0.8846222250966063,0.2842675979670919,0.8656782378588713,0.24888033759640416,0.25001751577767356,0.2705298388009507,0.2486378114440007,0.25001751577767356,0.25039477868141224,0.8517574112122102,0.747963751100675,0.611883621954799,0.8515739653654242,0.7514675667742883,0.38685060170237745,0.8828598683891413,0.3065638355780476,0.8609840094423515,0.9344802125606989,0.29601664268352496,0.8674675419166034
weighted avg,f1-score,0.8384157201578512,0.7744667343324193,0.8678990376835731,0.49325057326545846,0.17503124288297403,0.5792962502651687,0.8818202592105826,0.174671167744535,0.8658061696167224,0.10169495697905029,0.10001261167408629,0.1748398752444293,0.09902455503732745,0.10001261167408629,0.1078207190630299,0.7836036550294038,0.7337948411490837,0.6678836859140025,0.7835476617473086,0.7359317491399022,0.4916660241537506,0.8800334063750854,0.29700207735419787,0.8611168148207494,0.9339541813874139,0.22653858155164164,0.867578066324335
weighted avg,support,54512.0,54512.0,54512.0,9800.0,9800.0,9800.0,185547.0,185547.0,185547.0,185547.0,185547.0,185547.0,185547.0,185547.0,185547.0,54512.0,54512.0,54512.0,54512.0,54512.0,54512.0,185547.0,185547.0,185547.0,185547.0,185547.0,185547.0
