,,Base,Base,Base,Random Sampling,Random Sampling,Random Sampling,SMOTE Sampling,SMOTE Sampling,SMOTE Sampling,Min Max Scaler,Min Max Scaler,Min Max Scaler,Standard Scaler,Standard Scaler,Standard Scaler,Min Max Scaler (Log),Min Max Scaler (Log),Min Max Scaler (Log),Standard Scaler (Log),Standard Scaler (Log),Standard Scaler (Log),Feature Selection,Feature Selection,Feature Selection,Grid Search CV,Grid Search CV,Grid Search CV
,,k-Nearest Neighbor,Gaussian Naive Bayes,Decision Tree,k-Nearest Neighbor,Gaussian Naive Bayes,Decision Tree,k-Nearest Neighbor,Gaussian Naive Bayes,Decision Tree,k-Nearest Neighbor,Gaussian Naive Bayes,Decision Tree,k-Nearest Neighbor,Gaussian Naive Bayes,Decision Tree,k-Nearest Neighbor,Gaussian Naive Bayes,Decision Tree,k-Nearest Neighbor,Gaussian Naive Bayes,Decision Tree,k-Nearest Neighbor,Gaussian Naive Bayes,Decision Tree,k-Nearest Neighbor,Gaussian Naive Bayes,Decision Tree
2,recall,0.20158672917417958,0.0,0.46844572664983775,0.42122719734660036,0.0,0.5704809286898839,0.936767998622115,0.0,0.8543532552531864,0.0,0.0,0.0,0.0,0.0,0.0003606202668589975,0.0,0.0,0.19653804543815362,0.0,0.0,0.3627839884601515,0.47854309412188967,0.0,0.46700324558240175,0.5344392354850342,0.0,0.28020194734944104
2,f1-score,0.26188802998360267,0.0,0.44646846537205703,0.44337770019637796,0.0,0.5578755321305494,0.897874535699546,0.0,0.850644687623927,0.0,0.0,0.0,0.0,0.0,0.0007196833393306947,0.0,0.0,0.09227122661474646,0.0,0.0,0.10949063996517197,0.5673364685763147,0.0,0.4389086595492289,0.6633840644583706,0.0,0.3868558625840179
2,support,2773.0,2773.0,2773.0,2412.0,2412.0,2412.0,46448.0,46448.0,46448.0,2773.0,2773.0,2773.0,2773.0,2773.0,2773.0,2773.0,2773.0,2773.0,2773.0,2773.0,2773.0,2773.0,2773.0,2773.0,2773.0,2773.0,2773.0
3,precision,0.9053511431615177,0.8518160997861185,0.9381535768978342,0.6445086705202312,0.26475892749789587,0.5965485074626866,0.9562031059151981,0.2658865100020897,0.9039837947332883,0.8516323197474905,0.0,0.850909766060156,0.8516656882888172,0.0,0.8517227461196932,0.8516602458264538,0.8448756300454862,0.8645663770003256,0.8516520813840425,0.8460035813120625,0.8921491835873954,0.9327685727336905,0.8516656882888172,0.9374643687234135,0.9337350623969382,0.8516656882888172,0.9042895067765824
3,recall,0.9518804118381942,0.9693706112953948,0.9236850040925344,0.4613156805957799,0.9110467521721142,0.5291683905668184,0.7141150663510197,0.9119301522489847,0.8723150098820668,0.9996122862189291,0.0,0.9871623659156508,1.0,0.0,0.9999569206909921,0.9999569206909921,0.8881876534700384,0.7436134924395813,0.9998923017274803,0.8955326756558825,0.3189376642398656,0.9676474389350794,1.0,0.9209063886615259,0.9879377934777926,1.0,0.9758325076465774
3,f1-score,0.9280329280329281,0.9067993834312255,0.9308630719805505,0.5377381239450205,0.4102850754611515,0.5608419206314406,0.8176155366845292,0.4117277897626985,0.8878670984713672,0.9197078845410676,0.0,0.913986000039886,0.9198914184945214,0.0,0.919906471683906,0.9198700166442102,0.8659904233870968,0.7995414384473755,0.9198379122784421,0.87006382756095,0.4698919442108436,0.9498879350446146,0.9198914184945214,0.9291116133518775,0.960072006447089,0.9198914184945214,0.9386998186998188
3,support,46426.0,46426.0,46426.0,2417.0,2417.0,2417.0,46043.0,46043.0,46043.0,46426.0,46426.0,46426.0,46426.0,46426.0,46426.0,46426.0,46426.0,46426.0,46426.0,46426.0,46426.0,46426.0,46426.0,46426.0,46426.0,46426.0,46426.0
all,accuracy,0.851023627825066,0.8270839448194893,0.8634429116524802,0.49948979591836734,0.2820408163265306,0.583469387755102,0.884514435695538,0.2839388402938339,0.8642392493546109,0.8513354857646023,0.04978720281772821,0.8410992075139418,0.8516656882888172,0.04978720281772821,0.8516473437041385,0.8516289991194599,0.7598510419724097,0.6492698855297916,0.8515739653654242,0.7661799236865278,0.3099501027296742,0.9017830936307601,0.8516656882888172,0.861094804813619,0.9252825066040505,0.8516656882888172,0.8800447607866158
macro avg,precision,0.510335735965992,0.225163673546887,0.5917863539435204,0.5118347058416775,0.16093012297359738,0.5840418858166765,0.8902271077894792,0.16325049105463027,0.8647756602443224,0.21290807993687264,0.012446800704432052,0.22039615317148073,0.2129164220722043,0.012446800704432052,0.25459735319659,0.21291506145661346,0.2193682240203095,0.2600177330850561,0.21291302034601062,0.22034962856199478,0.25129506921183414,0.7345923607257435,0.2129164220722043,0.5877669638789506,0.8703673911324766,0.2129164220722043,0.6785412709235418
macro avg,recall,0.44177487571813545,0.24989607950034096,0.6192729250213023,0.4986277757627775,0.2842554556345042,0.5829889660035196,0.8840977764655523,0.2855374239856211,0.8642633296667719,0.24990307155473226,0.25,0.24863289066830105,0.25,0.25,0.25007938523946277,0.24998923017274802,0.2391802958288213,0.2654358210943416,0.24997307543187008,0.24138501121316,0.2701909142803838,0.6348894009584662,0.25,0.6186619221613888,0.6713865111062743,0.25,0.49128181530631804
macro avg,f1-score,0.4666409327660396,0.23603287567797482,0.6048403023493832,0.49861890960879396,0.17335212528846167,0.582857775190035,0.8816847762053607,0.17511442820730982,0.8644254099421651,0.2299269711352669,0.02371299758850872,0.231467385333798,0.22997285462363035,0.02371299758850872,0.2301565387558092,0.22996750416105255,0.22754273648810436,0.2522062522310963,0.22995947806961053,0.2292704730990967,0.16649006206446915,0.6769976307396193,0.22997285462363035,0.602339862001715,0.748908886801494,0.22997285462363035,0.5518190504221221
macro avg,support,54512.0,54512.0,54512.0,9800.0,9800.0,9800.0,185547.0,185547.0,185547.0,54512.0,54512.0,54512.0,54512.0,54512.0,54512.0,54512.0,54512.0,54512.0,54512.0,54512.0,54512.0,54512.0,54512.0,54512.0,54512.0,54512.0,54512.0
weighted avg,precision,0.8273295847043253,0.727894081924637,0.8696267289847691,0.5112397431703456,0.16146936106290755,0.5842532476926481,0.890060541966478,0.16291072657020386,0.8646760016414409,0.7253060257667485,0.0024787655644136035,0.7262178663936589,0.7253344446084646,0.0024787655644136035,0.7338612943575642,0.72532980945001,0.7211745116765624,0.7450126261722891,0.7253228560745443,0.7222744370777424,0.7655101334822583,0.8936183328871735,0.7253344446084646,0.8682548802125457,0.9212384286947517,0.7253344446084646,0.8597366476190644
weighted avg,recall,0.851023627825066,0.8270839448194893,0.8634429116524802,0.49948979591836734,0.2820408163265306,0.583469387755102,0.884514435695538,0.2839388402938339,0.8642392493546109,0.8513354857646023,0.04978720281772821,0.8410992075139418,0.8516656882888172,0.04978720281772821,0.8516473437041385,0.8516289991194599,0.7598510419724097,0.6492698855297916,0.8515739653654242,0.7661799236865278,0.3099501027296742,0.9017830936307601,0.8516656882888172,0.861094804813619,0.9252825066040505,0.8516656882888172,0.8800447607866158
weighted avg,f1-score,0.8368280945182942,0.7741485828240721,0.8663538903245072,0.4987705448304008,0.17303948847829959,0.5832103062820977,0.8818396087567619,0.17446563323425016,0.8643640144211862,0.7832836485123202,0.004722415281421534,0.7790021640909744,0.783439958083113,0.004722415281421534,0.7834893883236166,0.7834217308615369,0.7397339546230488,0.6913606587940891,0.7833943886747681,0.7433444064849583,0.41007104356608126,0.895896650375755,0.783439958083113,0.8644418876185106,0.9182834360854708,0.783439958083113,0.8622396713643491
weighted avg,support,54512.0,54512.0,54512.0,9800.0,9800.0,9800.0,185547.0,185547.0,185547.0,54512.0,54512.0,54512.0,54512.0,54512.0,54512.0,54512.0,54512.0,54512.0,54512.0,54512.0,54512.0,54512.0,54512.0,54512.0,54512.0,54512.0,54512.0
